pquiza|14123243437|2013|9|01|198|437|1|4|HLL|1
pquiza|14123243437|2013|9|01|198|111|3|4|HLL|2
sallyfield|14525233687|2013|9|01|198|352|1|4|HLL|3
achand|48394134323|2013|9|01|198|214|1|4|HLL|4
jasonkelch|14447103844|2013|9|01|198|314|2|4|HLL|5
jennrich|54862345153|2013|9|01|198|214|2|4|HLL|6
jennrich|54862345153|2013|9|01|198|334|3|4|HLL|7
dougand|53489653241|2013|9|01|198|352|1|2|HLL|8
kimcalvano|56542395613|2013|9|01|198|206|1|3|HLL|1
jessquiza|56542535156|2013|9|01|198|352|2|2|HLL|2
dylkohan|14278963524|2013|9|01|198|110|5|4|HLL|4
juano|65254232156|2013|9|01|198|107|2|2|HLL|5
jscalvano|12700000023|2013|9|01|198|437|1|4|HLL|6
jscalvano|12700000023|2013|9|01|198|352|1|4|HLL|7
jscalvano|12700000023|2013|9|01|198|416|2|4|HLL|8
joshbeni|14565234437|2013|9|01|198|214|2|4|HLL|8
joshbeni|14565234437|2013|9|01|198|352|1|4|HLL|8
joshbeni|14565234437|2013|9|01|198|416|2|4|SEC|1
pquiza|14123243437|2013|9|01|198|416|1|4|SEC|1
pquiza|14123243437|2013|9|01|198|352|1|4|SEC|2
pquiza|14123243437|2012|9|01|198|205|2|4|SEC|3
pquiza|14123243437|2012|9|01|198|107|4|4|SEC|2
sallyfield|14525233687|2012|9|01|198|107|2|3|SEC|3
achand|48394134323|2012|9|01|198|111|4|2|COR|1
jasonkelch|14447103844|2012|9|01|198|205|2|2|COR|2
jennrich|548623451532012|2012|9|01|198|214|1|4|COR|3
dougand|534896532412012|2013|9|01|198|111|2|2|COR|3
kimcalvano|565423956132012|2013|9|01|198|205|3|2|COR|4
jessquiza|565425351562012|2013|9|01|198|111|2|2|COR|2
dylkohan|142789635242012|2013|9|01|198|214|1|3|COR|4
dylkohan|142789635242012|2013|9|01|198|205|2|3|COR|3
juano|652542321562012|2012|9|01|198|107|3|1|ARC|1
jscalvano|127000000232012|2013|9|01|198|111|3|4|ARC|2
jscalvano|127000000232012|2013|9|01|198|107|1|4|ARC|3
jscalvano|127000000232012|2013|9|01|198|214|2|4|ARC|3
joshbeni|145652344372012|2013|9|01|198|107|2|4|ARC|2
joshbeni|145652344372012|2013|9|01|198|205|1|4|ARC|2
joshbeni|145652344372012|2013|9|01|198|111|2|4|ARC|2
pquiza|141232434372012|2013|9|01|198|214|2|4|ARC|2
pquiza|141232434372012|2013|9|01|198|334|3|4|ARC|3
lowgpa1|123452512432012|2013|9|01|198|314|1|2|ARC|3
lowgpa2|235458537932012|2013|9|01|198|314|1|2|ARC|3
notcs1|782354235442012|2013|9|01|198|314|1|4|ARC|3
notcs2|454453678912012|2013|9|01|198|314|1|4|ARC|2
noprereq1|123212321452012|2013|9|01|198|111|1|2|ARC|2
noprereq2|123553658842012|2013|9|01|198|111|1|2|ARC|2
lowprereqgpa1|125454686122012|2013|9|01|198|314|2|2|ARC|1
lowprereqgpa1|542523542342012|2013|9|01|198|314|1|2|ARC|3
sallyfield|14525233687|2013|9|01|198|111|1| |HLL|3
jennrich|54862345153|2012|9|01|198|111|1| |COR|2
dylkohan|14278963524|2013|9|01|198|112|1| |HLL|2
