01:198:107|2013|9|01|lrooney
01:198:107|2013|9|02|lrooney                     
01:198:107|2013|9|03|aborgida                  
01:198:110|2013|9|01|aborgida
01:198:110|2013|9|02|aborgida
01:198:110|2013|9|04|jimhenson
01:198:110|2013|9|05|jimhenson
01:198:110|2013|9|06|lrooney
01:198:110|2013|9|07|fredman
01:198:110|2013|9|08|fredman
01:198:110|2013|9|09|kremer
01:198:111|2013|9|01|bnath
01:198:111|2013|9|02|bnath
01:198:111|2013|9|03|jimhenson
01:198:111|2013|9|04|marcogru
01:198:111|2013|9|05|jimhenson
01:198:112|2013|9|01|ricardob
01:198:112|2013|9|02|ricardob
01:198:205|2013|9|01|kremer
01:198:205|2013|9|02|kremer
01:198:205|2013|9|04|bnath
01:198:205|2013|9|06|bnath
01:198:206|2013|9|01|decarlo
01:198:206|2013|9|02|decarlo
01:198:206|2013|9|03|farach
01:198:211|2013|9|01|farach
01:198:211|2013|9|02|marcogru
01:198:211|2013|9|03|marcogru
01:198:211|2013|9|04|ricardob
01:198:214|2013|9|01|aborgida
01:198:214|2013|9|02|ricardob
01:198:214|2013|9|03|lrooney
01:198:214|2013|9|04|jimhenson
01:198:314|2013|9|01|decarlo
01:198:314|2013|9|02|kremer
01:198:314|2013|9|03|farach
01:198:334|2013|9|01|farach
01:198:334|2013|9|02|fredman
01:198:336|2013|9|01|fredman
01:198:336|2013|9|02|atjang
01:198:336|2013|9|03|atjang
01:198:344|2013|9|01|kremer
01:198:344|2013|9|03|ricardob
01:198:344|2013|9|04|kremer
01:198:352|2013|9|01|aborgida
01:198:352|2013|9|02|aborgida
01:198:416|2013|9|01|lrooney
01:198:416|2013|9|02|lrooney
01:198:416|2013|9|03|bnath
01:198:417|2013|9|01|fredman
01:198:431|2013|9|01|fredman
01:198:437|2013|9|01|atjang
01:198:440|2013|9|01|atjang
