00001|01:198:214|01
00003|01:198:437|01
00002|01:198:111|03
00015|01:198:417|01
00016|01:198:352|01
00006|01:198:214|01
00004|01:198:314|02
00005|01:198:214|02
00006|01:198:214|01
00007|01:198:334|03
00007|01:198:344|03
00008|01:198:352|01
00009|01:198:206|01
00010|01:198:352|02
00011|01:198:110|04
00012|01:198:112|01
00013|01:198:110|05
00014|01:198:107|02
00017|01:198:211|01
00018|01:198:211|02
00019|01:198:211|03
00020|01:198:107|03
00021|01:198:107|03
00022|01:198:107|02
00023|01:198:107|02
00024|01:198:107|02
00025|01:198:352|01
00026|01:198:352|02
00027|01:198:417|01
